Date,Open,High,Low,Close
3/27/2014,8737.56,8780.42,8723.82,8779.57
3/28/2014,8779.91,8812.41,8751.07,8774.64
3/31/2014,8802.93,8849.28,8769.97,8849.28
4/1/2014,8847.34,8873.15,8826.16,8873.15
4/2/2014,8906.52,8922.79,8883.14,8905.45
4/3/2014,8902.94,8913.74,8871.16,8888.54
4/7/2014,8844.91,8876.44,8828.59,8876.44
4/8/2014,8878.88,8899.12,8860.7,8888.25
4/9/2014,8912.39,8936.57,8912.39,8930.57
4/10/2014,8964.34,8978.52,8898.3,8948.1
4/11/2014,8900.13,8909.97,8848.24,8908.05
4/14/2014,8897.23,8899.51,8852.66,8857.42
4/15/2014,8898.65,8918.94,8889.44,8916.71
4/16/2014,8921.07,8968.56,8894.29,8923.82
4/17/2014,8942.23,8962.66,8921.56,8944.16
4/18/2014,8994.77,9002.7,8945.56,8966.66
4/21/2014,8961.52,8965.58,8938.47,8951.19
4/22/2014,8956.22,8989.06,8955.19,8974.71
4/23/2014,9009.59,9022.28,8947.86,8956.92
4/24/2014,8968.82,8971.94,8926.55,8945.45
4/25/2014,8945.81,8951.06,8749.51,8774.12
4/28/2014,8680.14,8825.93,8671.65,8809.71
4/29/2014,8845.6,8884.48,8833.37,8872.11
4/30/2014,8885.7,8890.09,8791.44,8791.44
5/2/2014,8846.86,8875.9,8839.92,8867.32
5/5/2014,8895.87,8911.08,8844.45,8870.43
5/6/2014,8888.45,8927.39,8853.72,8912.39
5/7/2014,8903.72,8911.03,8856.98,8893.22
5/8/2014,8925.21,8941.46,8891.74,8930.9
5/9/2014,8943.14,8945.63,8878.32,8889.69
5/12/2014,8893.72,8898.31,8803.43,8808.61
5/13/2014,8865.61,8886.66,8809.06,8817.94
5/14/2014,8842.05,8875.16,8812.19,8875.16
5/15/2014,8852.92,8880.65,8839.44,8880.65
5/16/2014,8857.12,8896.72,8816.92,8888.45
5/19/2014,8901.54,8912.19,8877.46,8899.9
5/20/2014,8922.08,8930.79,8887.79,8887.79
5/21/2014,8894.16,8905.04,8848.53,8862.42
5/22/2014,8899.82,8969.63,8899.82,8969.63
5/23/2014,8960.79,9008.22,8960.79,9008.22
5/26/2014,9040.49,9053.75,9026.77,9036.12
5/27/2014,9045.08,9059.19,9035.69,9055.29
5/28/2014,9072.04,9125.14,9069.89,9121.71
5/29/2014,9123.46,9131.66,9093.57,9109
5/30/2014,9130.66,9139.57,9075.91,9075.91
6/3/2014,9106.61,9128.34,9070.45,9123.46
6/4/2014,9135.01,9140.55,9114.18,9119.96
6/5/2014,9127.56,9140.72,9094.13,9140.72
6/6/2014,9167.83,9174.77,9122.56,9134.46
6/9/2014,9153.93,9166.58,9138.93,9162.74
6/10/2014,9181.9,9222.37,9171.75,9222.37
6/11/2014,9218.5,9229.8,9204.76,9229.8
6/12/2014,9209.99,9220.89,9186.79,9204.65
6/13/2014,9192.73,9207.74,9171.51,9196.39
6/16/2014,9196.23,9214.19,9179.56,9202.93
6/17/2014,9223.02,9249.87,9200.86,9240.6
6/18/2014,9257.65,9316.64,9204.35,9279.93
6/19/2014,9288.69,9324.4,9283.38,9316.81
6/20/2014,9330.35,9339.83,9273.79,9273.79
6/23/2014,9293.06,9302.65,9225.73,9228.35
6/24/2014,9232.35,9276.24,9232.35,9246.2
6/25/2014,9250.13,9255.87,9229.8,9242.16
6/26/2014,9273.36,9320.94,9271.35,9320.94
6/27/2014,9316.89,9330.95,9303.57,9306.83
6/30/2014,9332.44,9393.07,9327.89,9393.07
7/1/2014,9393.07,9463.06,9374.28,9441.92
7/2/2014,9482,9547.05,9421.87,9484.96
7/3/2014,9468.78,9538.65,9449.78,9526.23
7/4/2014,9525.93,9550.11,9482.94,9510.05
7/7/2014,9497.27,9520.2,9454.67,9520.2
7/8/2014,9515.18,9540.57,9499.17,9530.98
7/9/2014,9510,9522.99,9478.76,9489.98
7/10/2014,9512.89,9568.75,9512.89,9565.12
7/11/2014,9561.71,9591.27,9478.07,9495.84
7/14/2014,9497.81,9545.99,9488.12,9520.3
7/15/2014,9558.42,9593.68,9547.94,9569.17
7/16/2014,9570.33,9574.13,9471.65,9484.73
7/17/2014,9420.11,9461.86,9373.87,9408.24
7/18/2014,9335.38,9421.34,9335.38,9400.97
7/21/2014,9453.78,9480.14,9426.3,9440.97
